,Mean Degree,Mean Clustering Coefficient,Global Efficiency,Modularity,Small-Worldness
Mean Degree,1.0,0.8782064048032361,0.9935322680717371,-0.9175722228093457,0.976027882561532
Mean Clustering Coefficient,0.8782064048032361,1.0,0.8475095898146702,-0.7284355755590307,0.9466903299993994
Global Efficiency,0.9935322680717371,0.8475095898146702,1.0,-0.9349852725463639,0.9590341731591376
Modularity,-0.9175722228093457,-0.7284355755590307,-0.9349852725463639,1.0,-0.8513758730757145
Small-Worldness,0.976027882561532,0.9466903299993994,0.9590341731591376,-0.8513758730757145,1.0
