0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1.180885695954939e-05,-4.901319266436927e-07,-5.1596772990384197e-08,2.1947264910778247e-08,-2.2217430275268017e-07,3.742897168822906e-07,-4.731442935926171e-08,-2.233170037049582e-07,-4.219522989438701e-08,-1.6659432478015088e-07,4.141208502911244e-07,-1.5587145184519904e-07,-2.7184810947242697e-07,-2.8388368760839275e-07,-2.531919600462141e-07,-3.998434448255056e-07,-1.0459288555001856e-07,-9.945433636148117e-08
-9.58307717171905e-06,4.0136874325783375e-07,-7.732851906818368e-08,-2.918561678137751e-08,-1.6327649714505457e-07,3.124541948260257e-07,-2.969466918892344e-08,-2.097513548092068e-07,-4.8915136206611164e-08,-1.625076533767819e-07,1.011880238723019e-07,-1.3740270202083953e-07,-2.424180873230055e-07,-2.40299436676142e-07,-2.315678082425554e-07,-3.5426222375369544e-07,-1.0162232511320711e-07,-1.0026516485345321e-07
-5.7246133803444324e-06,1.646959094155929e-06,-8.10485555668256e-08,-8.686186992438418e-08,-1.2143751052946116e-07,2.3066545741799226e-07,-1.8600863929561672e-08,-1.9780955161607645e-07,-5.404490617615965e-08,-1.563024289782627e-07,-1.66333872492429e-07,-1.1753482746791321e-07,-2.0839504340254426e-07,-1.9480399333120264e-07,-2.0715796186467667e-07,-3.0227784780324987e-07,-9.493402325816071e-08,-9.954075090006015e-08
-1.1386781852823777e-06,2.895457721697016e-06,-6.641782826519035e-08,-1.3616861705253065e-07,-9.725899866196507e-08,1.3604293985265562e-07,-1.6515421607254124e-08,-1.8424646397181737e-07,-5.714974406940363e-08,-1.4604074802173038e-07,-3.620753434415677e-07,-1.0443095387036487e-07,-1.6505376976187329e-07,-1.5099670366175293e-07,-1.8140426563625794e-07,-2.449214860476097e-07,-8.160822369930676e-08,-9.489951742953399e-08
3.2129807179477086e-06,3.7457703950098502e-06,-3.428441649915807e-08,-1.66046363730269e-07,-8.355311031004125e-08,4.086328017549559e-08,-2.402571519967987e-08,-1.6343326667674297e-07,-5.5460115292981274e-08,-1.2786692125042936e-07,-4.556173187911894e-07,-9.055173391546007e-08,-1.123003795901311e-07,-1.0799976471538603e-07,-1.51205766940093e-07,-1.82323768629638e-07,-5.927056978486187e-08,-8.40855337928888e-08
6.637843299338621e-06,3.873416876163208e-06,1.2922670786173058e-08,-1.6949302630896314e-07,-7.053791010253576e-08,-3.810227250506276e-08,-3.755311836445334e-08,-1.3148011753512927e-07,-4.7527897853165304e-08,-9.836472877623967e-08,-4.5746975181483037e-07,-7.517868375388169e-08,-5.346561294444923e-08,-6.676220769464093e-08,-1.1448425294099465e-07,-1.166153555821797e-07,-3.3414233605279086e-08,-6.661210064815721e-08
8.78269950263939e-06,3.1376634952495366e-06,6.72015167630195e-08,-1.461387476709668e-07,-5.176183095758049e-08,-9.523165705669945e-08,-5.070685510313704e-08,-8.962889817721461e-08,-3.43341504912675e-08,-6.39817128129532e-08,-4.180669521891061e-07,-6.027192882464224e-08,3.213672187779865e-09,-2.6663160975075136e-08,-7.2635320491603e-08,-5.492672969540841e-08,-7.860080881638364e-09,-4.5180898644483136e-08
9.538371036971966e-06,1.6287051665046136e-06,1.1464993570714333e-07,-1.0345205474603737e-07,-2.6498949864554755e-08,-1.3030513458649878e-07,-5.978337978475294e-08,-4.359764740934967e-08,-1.872501000654779e-08,-2.803591391194598e-08,-2.8563333925362177e-07,-3.8508501775120096e-08,4.629884955572343e-08,9.665586910587453e-09,-2.6893346303812413e-08,-1.1456043233563317e-09,1.2288228711953047e-08,-2.4741298457978848e-08
8.95744977572412e-06,-3.4168681731225783e-07,1.4051180190014247e-07,-5.295057959652649e-08,2.1773698945280123e-09,-1.4681203726211345e-07,-6.34458442209034e-08,9.775052503035314e-10,-4.208066594311491e-09,5.414256371837432e-09,-1.0960956417354513e-07,-1.6231819458506175e-08,7.302515789664279e-08,3.939527426516356e-08,1.8631777089459004e-08,4.155044515339356e-08,2.2934977180281337e-08,-8.704640000257513e-09
7.2222705799025445e-06,-2.308618502971203e-06,1.3652850631502026e-07,-3.1918758522492834e-09,3.1186231820694395e-08,-1.4901247701183688e-07,-5.3511723055335244e-08,4.273557416926218e-08,8.454923045399554e-09,3.485247464110542e-08,2.8740811447602234e-08,9.010400703104839e-09,8.765782408304938e-08,5.924913400907404e-08,6.245632146651508e-08,8.647016685982804e-08,2.720869718874274e-08,6.393853163424148e-09
