0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-6.909725910258359e-08,-3.66166062337292e-08,2.8592972268374502e-08,-1.3768750042508046e-08,5.365185610314907e-06,-1.023980700742287e-05,4.523871866611905e-06,-4.535320005773801e-06,1.8032238699148697e-06,-1.6797345551106313e-07,-9.461000489232965e-07,1.066305635364394e-06,-6.0777052565614955e-06,-2.2520038494396453e-07,1.8191431421424875e-06,-1.4087677767129405e-05,-7.94345674561537e-06,4.452159171763733e-06
-8.440260365216551e-08,-7.526981567909726e-09,2.1055021886643486e-08,-2.779430259705685e-08,2.938459728888799e-06,-7.340560757208168e-06,1.0824159596119508e-07,2.660263954000395e-07,3.748705473680467e-06,-1.613035843474594e-07,-2.653821036155414e-06,-8.349497709165501e-07,-7.2778644699929445e-06,-1.9686006940900712e-06,-3.248801206208374e-07,-1.6267143759780083e-05,-1.0299924635739367e-05,4.538270241195742e-06
-1.0500174679094442e-07,-1.0351470590611585e-09,2.4444899521917624e-09,-4.420342060996542e-08,-9.082302133954503e-08,-4.413510996046828e-06,-3.5599579850749435e-06,5.842774612763905e-06,5.099031454004692e-06,-1.6158491485988136e-07,-3.5885768167692012e-06,-3.773792023091492e-06,-7.45864016024515e-06,-2.8689366724912484e-06,-7.498971598689535e-07,-1.665751146969057e-05,-1.0769597502815987e-05,5.284162536726476e-06
-1.2590916808324126e-07,-1.2642335864572815e-08,-1.8859551801705313e-08,-5.489656652017154e-08,-3.205746229649791e-06,-1.7781842302966377e-06,-6.7102141521133654e-06,1.0803846583450784e-05,5.453430491131622e-06,-1.5730588398822298e-07,-3.907491474149748e-06,-7.191051432701443e-06,-6.707703361669531e-06,-2.6245294977614705e-06,2.521950802196179e-07,-1.4940265118425571e-05,-9.423637095765356e-06,5.561352931647912e-06
-1.3566075530965822e-07,-3.2088656683308586e-08,-3.487307569759212e-08,-5.38629019855957e-08,-5.791078149050803e-06,4.502766577381033e-07,-9.013721633898869e-06,1.385691320220285e-05,4.737233711987523e-06,-1.3513591573372994e-07,-3.443744341264073e-06,-1.0072933817464821e-05,-5.2372221419931675e-06,-1.403892242418302e-06,1.6300548528376753e-06,-1.1373496736511088e-05,-8.519660190364671e-06,3.308317786086753e-06
-1.217881331861125e-07,-4.677793583837407e-08,-3.9982624325308305e-08,-3.816901805067667e-08,-7.300240223721472e-06,2.2460839960356054e-06,-9.895234871150827e-06,1.4138389352534967e-05,3.168099709705619e-06,-9.306631264301002e-08,-2.5299928729086613e-06,-1.1042871293490324e-05,-3.3501825339076582e-06,2.719822629848972e-07,2.864720711386232e-06,-7.24911472264767e-06,-5.703895820545878e-06,-2.0343371628305421e-07
-7.931962465194105e-08,-4.7619585606361217e-08,-3.316364789498402e-08,-9.09697905350389e-09,-7.376817904968017e-06,3.5349363670237615e-06,-1.0311550189615108e-05,1.1471738247257633e-05,1.1747208075115022e-06,-3.4899864059824466e-08,-1.3327420237535665e-06,-9.691934944002428e-06,-1.3303070014338495e-06,1.7983853030589825e-06,3.757166777238682e-06,-2.952062913791148e-06,-1.3970862948760017e-06,-3.2432297037511975e-06
-1.6741121782216682e-08,-3.283861772598001e-08,-1.8078842336677804e-08,2.565482817813787e-08,-5.976302179599638e-06,4.209443347237326e-06,-1.0275144449698302e-05,6.4859658462782345e-06,-7.504949185015628e-07,2.7263503228747596e-08,2.6953891603922043e-08,-6.1426040135979234e-06,6.74815694869472e-07,2.7055742496700328e-06,4.103678891074731e-06,1.4092356288844253e-06,2.992722390848635e-06,-5.134579974507644e-06
4.773554787983517e-08,-7.817037259109203e-09,-1.3776208636282538e-09,5.640326244942655e-08,-3.433043067028463e-06,4.179614816060158e-06,-9.470978618825591e-06,4.5515166496036966e-07,-2.243766981168325e-06,7.838161113580126e-08,1.2744594592248782e-06,-1.2601127796010837e-06,2.634250259809216e-06,2.896807407946479e-06,3.923813535346019e-06,4.7887011824238255e-06,6.735537662421075e-06,-7.091171220818188e-06
9.65220573110159e-08,1.9231668070180978e-08,1.0998953506341783e-08,7.508128921937828e-08,-3.5458903069165214e-07,3.461163937093848e-06,-7.4329631232653915e-06,-5.183367841116999e-06,-3.2062380426897335e-06,1.1119330893962293e-07,2.2643246420368645e-06,3.343236174253836e-06,4.46550539940574e-06,2.5524584500997893e-06,3.2438562766816622e-06,7.712205646005231e-06,9.347236890105443e-06,-6.85666866401233e-06
