0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-2.7650122221497824e-08,1.1784252649136194e-07,5.442602694298331e-07,4.5741089402433815e-08,4.171052796904685e-07,1.933188995437587e-08,1.0770267818832318e-07,-4.13010727208207e-08,-1.8952591873198347e-07,1.6047590526123098e-07,1.7938358473840244e-07,1.8671751296303469e-07,-2.0363080985119087e-07,2.1707864316980515e-07,1.5664990023835922e-07,8.447086233241111e-07,2.8015273682813654e-08,3.0357797416371885e-07
-1.745793901063761e-09,6.750787116453965e-08,4.843807047028163e-07,-2.0167863446251187e-08,4.0095917140136224e-07,2.7210337127628643e-08,1.4174478209837155e-07,-1.2409189485989857e-07,-1.3667198451307773e-07,1.4711507704264334e-07,1.80986635045243e-07,2.6079068665388947e-07,-1.4130680798157497e-07,1.7306396085146492e-07,2.4862554915109466e-07,8.220213283104846e-07,4.1358473822353015e-08,3.403698665872853e-07
3.053722348915384e-08,3.421115574305589e-08,4.401473449184449e-07,-6.6113965684506e-08,3.693743390347434e-07,2.3307745704406033e-08,1.4327964406447123e-07,-1.8135349574698188e-07,-1.0015845093126768e-07,1.3759257032052988e-07,1.7352527911705261e-07,3.177850732617617e-07,-8.736101177304628e-08,1.3784858106800763e-07,2.916450397505758e-07,6.61721645283807e-07,5.600757923726583e-08,3.774565298768246e-07
5.217418192873631e-08,1.507776976825971e-08,4.08716759888656e-07,-1.097156250394457e-07,3.3824231016311653e-07,5.7600432131118124e-09,1.1914567300675033e-07,-2.108036657512867e-07,-8.130490397277559e-08,1.129920558238739e-07,1.537688526755073e-07,3.5917634425909726e-07,-4.853000085127502e-08,1.105274926909883e-07,2.863459045668502e-07,4.882560063641598e-07,6.603430759224837e-08,3.9592940876069286e-07
6.415774220342515e-08,1.1520204561696676e-08,3.4699495709619557e-07,-1.3350401156316723e-07,2.7267511976335245e-07,-2.10459671408786e-08,7.521821329184092e-08,-2.2322570171261283e-07,-6.705129863758426e-08,8.412770964629329e-08,1.2266091098076672e-07,3.1176155842318583e-07,-1.4446089475580946e-08,7.779917955545224e-08,2.464697310301316e-07,3.141625455204434e-07,7.168110805836143e-08,3.821833235266614e-07
7.696925521298562e-08,1.5477854066823436e-08,1.7947801833558903e-07,-1.46425433319506e-07,1.8927795064599422e-07,-5.100989574300896e-08,2.1586388005156178e-08,-1.9740737846509042e-07,-5.522671434760288e-08,3.686957140282353e-08,8.249888612902349e-08,2.2248565638130215e-07,1.1393720164246087e-08,4.425564859180101e-08,1.792006400376954e-07,1.3342336401910654e-07,5.658061918626145e-08,3.1375702421298705e-07
8.580340431799777e-08,7.755216461993311e-09,1.4999584657316243e-08,-1.2046832923763493e-07,8.242458685127709e-08,-7.781760122482777e-08,-3.3647781685170044e-08,-1.6436601121079126e-07,-3.918291987319733e-08,-2.3837783711833e-08,3.705452687388107e-08,1.1725800215571696e-07,2.3769008968461574e-08,7.140508670788671e-09,1.0105319148135856e-07,-4.152858326931494e-08,1.6324446980082035e-08,2.0653741689408297e-07
7.610869817030137e-08,-1.1075054214306187e-08,-1.2754227744238328e-07,-7.645653038861726e-08,-3.6362741572554706e-08,-9.608901600443092e-08,-8.29517261901855e-08,-1.325833036509462e-07,-1.637475625700036e-08,-8.529859338411394e-08,-8.71090131465968e-09,1.2773133263555331e-08,2.7319951562005543e-08,-3.343630037748619e-08,1.86130051732045e-08,-1.6993200877032492e-07,-2.591776765770738e-08,8.156114222567727e-08
5.0295997469559125e-08,-3.3948953350367446e-08,-2.5101961603865744e-07,-5.900430669056086e-08,-1.39977802576179e-07,-1.0185725976436168e-07,-1.1919347550823441e-07,-9.031230668771322e-08,-5.807034055287122e-09,-1.2618556525812463e-07,-4.97950844202538e-08,-8.71068934400042e-08,2.8408134933259838e-08,-8.032202670472736e-08,-6.151861234420717e-08,-2.749931113522954e-07,-6.540570658660644e-08,-4.675811463447926e-08
1.145624676867373e-08,-5.358206532394228e-08,-2.9442732072014073e-07,-5.224392053130171e-08,-2.3141642607974105e-07,-9.259872925361259e-08,-1.3727274654256816e-07,-4.06852794525903e-08,1.2146302749695619e-09,-1.4865539300243326e-07,-8.253821300843822e-08,-1.7305936875554156e-07,3.299076120295035e-08,-1.231005239808482e-07,-1.310823436983397e-07,-3.5452225786203783e-07,-9.473931054193655e-08,-1.649559804746642e-07
-3.2967683009045276e-08,-6.121032663051877e-08,-3.192430515995848e-07,-2.6184472984073517e-08,-2.8787629328097354e-07,-6.755371065672328e-08,-1.34251115575539e-07,2.268513998702356e-08,1.3695055055584452e-08,-1.4616948812766527e-07,-1.0576920178246202e-07,-2.3424754755316907e-07,4.4485943298982365e-08,-1.4308603592988744e-07,-1.8484366687558703e-07,-4.0187196102664295e-07,-1.0371841295948905e-07,-2.617948461616317e-07
-7.006918964444338e-08,-5.6686898395960544e-08,-3.354397712671465e-07,1.8863730052319666e-08,-3.1111299096309825e-07,-2.801694162229163e-08,-1.1091457119493528e-07,1.0297707787979382e-07,3.544675992157493e-08,-1.1612305157387238e-07,-1.208235097467485e-07,-2.7561297157666643e-07,6.090636955127425e-08,-1.4243526822899164e-07,-2.205768370840991e-07,-4.2801695314742095e-07,-9.341291214702278e-08,-3.3319085127818933e-07
-9.22693216541934e-08,-4.594343475334408e-08,-3.3485817193410365e-07,8.216550862244519e-08,-3.103330529628472e-07,2.310762913529962e-08,-7.164392459859812e-08,1.9659611520182883e-07,7.600280741698925e-08,-7.07833625982496e-08,-1.3047433927029694e-07,-2.930013494405307e-07,7.571942170270022e-08,-1.2226640727310035e-07,-2.388645444629652e-07,-4.310663664650793e-07,-6.418438093760109e-08,-3.805893251628686e-07
-9.543208627846785e-08,-2.7177926018039e-08,-3.049029251127665e-07,1.6263256498818464e-07,-2.882974581676191e-07,8.214402197150184e-08,-2.3236804698047226e-08,2.8167142680473794e-07,1.2876440261065335e-07,-2.044399298175194e-08,-1.3752756876033024e-07,-2.827366318636007e-07,8.07573824885962e-08,-8.547158773889202e-08,-2.422026200256305e-07,-4.161068029284703e-07,-1.6812577111867146e-08,-3.979183286729707e-07
-7.934797753991447e-08,-2.654990239853244e-09,-2.561656837321915e-07,2.2501648813149742e-07,-2.526163501929334e-07,1.453932126215395e-07,2.8201173992643464e-08,3.6315490554344657e-07,1.875151834922527e-07,2.0012520133448176e-08,-1.4391713164583552e-07,-2.4860317923537397e-07,6.959186945751767e-08,-4.1691393125140603e-08,-2.3365785874741155e-07,-3.904172276676386e-07,3.8872015770427745e-08,-4.032241332934717e-07
-4.802057531220734e-08,2.28870506686007e-08,-1.9537882118187672e-07,2.758650776881834e-07,-2.1206564175436758e-07,2.097342416822718e-07,7.623359334572084e-08,4.3904544484190035e-07,2.486651425477527e-07,3.831182100720091e-08,-1.5032272561085054e-07,-1.9438002549665672e-07,3.9932156602674067e-08,4.0955287607656e-09,-2.1585647819102823e-07,-3.558382403328889e-07,8.93172436124168e-08,-4.1294110656965494e-07
-7.426731088160785e-09,4.7394728774368215e-08,-1.2339791577184312e-07,3.227581370876716e-07,-1.7265415246398514e-07,2.7302442200876313e-07,1.1881458214600287e-07,5.071407043728885e-07,3.114414257539057e-07,2.977003464780312e-08,-1.5600973540634894e-07,-1.297120314159438e-07,-5.558706021542929e-09,4.615524908664124e-08,-1.909110793953569e-07,-3.145699772850475e-07,1.2842359104111e-07,-4.331394833091135e-07
3.7051496767319316e-08,6.78769651967393e-08,-5.66200201724701e-08,3.6185736505710607e-07,-1.3886330492258843e-07,3.3438200492684926e-07,1.5642554059417188e-07,5.734123131025545e-07,3.7340899557817655e-07,-2.921359658047266e-09,-1.5898351239650353e-07,-6.472780255617787e-08,-5.982072987144917e-08,8.209585047828167e-08,-1.6094785536985077e-07,-2.6885350115009156e-07,1.522820588587193e-07,-4.6963444808673744e-07
8.215299226124209e-08,8.399410699469969e-08,1.654446868071964e-08,3.9327936062552514e-07,-1.1705530120106716e-07,3.9401538476300586e-07,1.9026545879119827e-07,6.362039274257802e-07,4.328627705837067e-07,-5.096699761857118e-08,-1.5663464455058783e-07,-7.479495135541755e-09,-1.13446442884466e-07,1.0621672741935642e-07,-1.287023836272369e-07,-2.2063510356785281e-07,1.6081163990719615e-07,-5.183058733680926e-07
1.2647329454411097e-07,9.75760773583877e-08,9.443429620687583e-08,4.192899420902865e-07,-1.0377687144907942e-07,4.520031857982313e-07,2.2348130459737838e-07,6.96317809461751e-07,4.973152880021418e-07,-1.0412324221885917e-07,-1.4687433490152045e-07,3.537911226281722e-08,-1.5811066966939195e-07,1.1938979190347332e-07,-9.772078320514493e-08,-1.7223016890872868e-07,1.5776525868653462e-07,-5.726807005975159e-07
