Dyad,Condition,Role,Mean Degree,Mean Clustering Coefficient,Global Efficiency,Modularity,Small-Worldness
dyad5,instruct,perant,8.889,0.569,0.637,0.331,
dyad51,elicit,baby,18.222,0.958,0.977,0.06,0.916
dyad51,free,baby,15.0,0.853,0.882,0.151,0.69
dyad51,instruct,baby,18.222,0.956,0.977,0.059,0.914
dyad51,elicit,perant,9.667,0.554,0.72,0.33,0.35
dyad51,free,perant,9.444,0.651,0.705,0.343,0.395
dyad51,instruct,perant,9.111,0.56,0.699,0.327,0.342
dyad57,elicit,baby,8.333,0.522,0.614,0.318,
dyad57,free,baby,9.0,0.618,0.693,0.325,0.371
dyad57,instruct,baby,10.0,0.612,0.727,0.278,0.387
dyad57,elicit,perant,9.444,0.673,0.705,0.375,0.408
dyad57,free,perant,7.778,0.57,0.643,0.444,0.313
dyad57,instruct,perant,10.222,0.617,0.735,0.256,0.397
dyad58,elicit,baby,15.778,0.923,0.905,0.087,0.776
dyad58,free,baby,17.0,0.938,0.886,0.06,
dyad58,instruct,baby,11.333,0.705,0.769,0.225,0.475
dyad58,elicit,perant,12.444,0.872,0.801,0.18,0.612
dyad58,free,perant,9.333,0.603,0.71,0.334,0.377
dyad58,instruct,perant,11.444,0.759,0.772,0.221,0.514
dyad59,elicit,baby,11.889,0.736,0.683,0.163,
dyad59,free,baby,12.0,0.768,0.686,0.2,
dyad59,instruct,baby,9.444,0.544,0.655,0.279,
dyad59,elicit,perant,9.222,0.641,0.553,0.254,
dyad59,free,perant,9.778,0.673,0.57,0.223,
dyad59,instruct,perant,7.778,0.691,0.5,0.381,
